Title,Year,Summary,Runtime,YouTube Trailer,Rating,Director,Writers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Cast_1,Cast_2,Cast_3,Keywords,Keywords_str
Kid Cannabis,2014,eighteen year old high school drop twentyseven year old friend start trafficking marijuana across border canada order make money life changed forever                                                                                                                                                                                                                                                           ,110,-41F52aL-hc,6.4,John Stockwell,John Stockwell,action,biography,comedy,crime,drama,aaron yoo,jonathan daniel brown,kenny wormald,"['eighteen', 'old', 'marijuana', 'trafficking', 'canada']",eighteen old marijuana trafficking canada
Kick-Ass,2010,dave lizewski unnoticed high school student comic book fan friend life alone father life difficult personal trial overwhelming however one day make simple decision become superhero even though power training                                                                                                                                                                                                 ,117,mcKIMqRF5Gc,7.6,Matthew Vaughn,Jane Goldman,action,comedy,,,,aaron taylor-johnson,nicolas cage,,"['overwhelming', 'superhero', 'dave', 'comic', 'simple']",overwhelming superhero dave comic simple
Kick-Ass 2,2013,kickass insane bravery inspires new wave selfmade masked crusader led badass colonel star stripe hero join patrol amateur superheroes hunted red mist reborn mother fr bladewielding hit girl prevent annihilation last saw junior assassin hit girl young vigilante kickass trying live normal teenager mindy dave graduation looming uncertain dave decides start world first superhero team mindy unfortunate,103,Td921lYSBIA,6.6,Jeff Wadlow,Jeff Wadlow,action,comedy,crime,,,aaron taylor-johnson,chloë grace moretz,,"['kickass', 'mindy', 'dave', 'hit', 'mist']",kickass mindy dave hit mist
K-PAX,2001,prot patient mental hospital claim far away planet psychiatrist try help begin doubt explanation                                                                                                                                                                                                                                                                                                                ,120,bVfHNhBcMTw,7.4,Iain Softley,Gene Brewer,action,drama,mystery,sci-fi,,jeff bridges,kevin spacey,mary mccormack,"['doubt', 'psychiatrist', 'patient', 'mental', 'claim']",doubt psychiatrist patient mental claim
K-19: The Widowmaker,2002,story ussr first nuclear ballistic submarine suffered malfunction nuclear reactor maiden voyage north atlantic 1961 submarine crew led unyielding captain alexi vostrikov race time prevent chernobyllike nuclear disaster threatens life crew potential ignite world war super power                                                                                                                           ,138,lZIFPBPxHzY,6.7,Kathryn Bigelow,Louis Nowra,action,drama,history,thriller,war,harrison ford,peter stebbings,sam spruell,"['nuclear', 'submarine', 'crew', 'unyielding', 'ussr']",nuclear submarine crew unyielding ussr
Justice League: War,2014,world finest hero found justice league order stop alien invasion earth                                                                                                                                                                                                                                                                                                                                          ,79,q3F9ASSsHUk,7.3,Jay Oliva,Heath Corson,action,adventure,animation,fantasy,sci-fi,sean astin,zach callison,,"['finest', 'invasion', 'league', 'justice', 'alien']",finest invasion league justice alien
Justice League: The New Frontier,2008,adapting awardwinning dc comic miniseries dc new frontier darwyn cooke justice league new frontier spin tale dc universe 1950s focusing test pilot hal jordan green lantern martian manhunter story also feature dc character including barry allen flash superman wonder woman batman many                                                                                                                     ,75,6lEhVhzPy3c,7.0,Dave Bullock,Stan Berkowitz,action,adventure,animation,fantasy,sci-fi,david boreanaz,miguel ferrer,,"['dc', 'frontier', 'adapting', 'martian', 'focusing']",dc frontier adapting martian focusing
Justice League: Doom,2012,justice league team great power also personal secret thought safe change immortal supervillain vandal savage batman batcave secretly raided learn soon leaguers individually beset enemy attack inescapable death trap specifically designed information seems lost indomitable knight young titan combine deliver salvation even savage us opportunity implement far grander scheme                            ,75,uBrvW9FbfDw,7.5,Lauren Montgomery,Dwayne McDuffie,action,animation,fantasy,sci-fi,,kevin conroy,tim daly,,"['savage', 'beset', 'inescapable', 'salvation', 'supervillain']",savage beset inescapable salvation supervillain
Just Go with It,2011,danny adam sandler must engage katherine jennifer aniston faithful assistant pretend soon exwife danny must pretend married lied dream girl palmer brooklyn decker gorgeous woman world keep woman love covering one lie soon turn many lie                                                                                                                                                                     ,117,Jz5Ubqhru7g,6.4,Dennis Dugan,Allan Loeb,action,comedy,romance,,,adam sandler,jennifer aniston,,"['pretend', 'danny', 'lie', 'lied', 'aniston']",pretend danny lie lied aniston
Just Friends,2005,chris brander always friend jamie palamino decides time take relationship next step problem jamie still want friend run away move la becomes attractive music manager everyone want jet catch fire forced land flying paris newest singing sensation samantha james end back home surprise encounter jamie set friend time                                                                                      ,96,vIBBVzy5UoQ,6.2,Roger Kumble,Adam 'Tex' Davis,action,comedy,romance,,,amy smart,anna faris,ryan reynolds,"['jamie', 'friend', 'palamino', 'want', 'jet']",jamie friend palamino want jet
Just Before I Go,2014,ted morgan treading water life wife leaf ted realizes nothing left live summoning courage one last act ted decides go home face people feel responsible creating shell person become life tricky determined ted confront demon get closure withdraw family ted yanked chaos life ted morgan decides kill find reason live                                                                                       ,95,LoGzbn_HVsA,6.4,Courteney Cox,David Flebotte,action,comedy,drama,,,garret dillahunt,olivia thirlby,seann william scott,"['ted', 'morgan', 'live', 'decides', 'closure']",ted morgan live decides closure
Juno,2007,tale told four season starting autumn juno 16yearold highschool junior minnesota discovers shes pregnant one event chair best friend bleeker waiting room abortion clinic quirky whipsharp juno decides give birth place child adoptive couple find one pennysaver personal contact tell dad stepmother carry school chosen parent upscale yuppie one cool laid back meticulous uptight meet juno sign paper yea,96,RszeRU9CTfw,7.5,Jason Reitman,Diablo Cody,action,comedy,drama,romance,,ellen page,jennifer garner,michael cera,"['juno', 'yea', 'uptight', 'one', 'autumn']",juno yea uptight one autumn
Jumper,2008,david rice high school student ann arbor abandoned mother five living callous alcoholic father enamored millie fellow student picked least one classmate winter day drown discovers transport instantaneously anyplace earth run away home go new york city robs bank vault come attention shadowy group government hunter eight year later hunter led murderous roland get fix david head home search millie in,88,574ofe8NHLc,6.1,Doug Liman,David S. Goyer,action,adventure,sci-fi,thriller,,hayden christensen,samuel l. jackson,,"['hunter', 'david', 'student', 'arbor', 'callous']",hunter david student arbor callous
Julie & Julia,2009,julia child julie powell wrote memoir find life intertwined though separated time space woman loose end discover right combination passion fearlessness butter anything possible                                                                                                                                                                                                                                ,118,ozRK7VXQl-k,7.0,Nora Ephron,Nora Ephron,action,biography,drama,romance,,amy adams,meryl streep,,"['intertwined', 'combination', 'powell', 'memoir', 'wrote']",intertwined combination powell memoir wrote
Joy Ride,2001,college student lewis decides drive across country see venna friend doesnt know lewis interested romantically unfortunately plan lewis get saddled raucousspirited older brother fuller whose ontheroad prank get brother venna sucked nightmare psychotic truckdriver take offense                                                                                                                             ,97,udKUOQ2czWg,6.6,John Dahl,Clay Tarver,action,mystery,thriller,,,leelee sobieski,paul walker,steve zahn,"['lewis', 'venna', 'brother', 'saddled', 'sucked']",lewis venna brother saddled sucked
Johnny English Reborn,2011,rowan atkinson return role accidental secret agent doesnt know fear danger comedy spythriller johnny english reborn latest adventure unlikely intelligence officer majesty secret service must stop group international assassin eliminate world leader cause global chaos year since mi7s top spy vanished grid honing unique skill remote region asia agency superior learn attempt chinese premier life must ,101,Gh-Lubu94nA,6.3,Oliver Parker,Hamish McColl,action,adventure,comedy,crime,drama,rosamund pike,rowan atkinson,,"['rowan', 'reborn', 'premier', 'majesty', 'secret']",rowan reborn premier majesty secret
Johnny English,2003,rowan play eponymous lead character spoof spy thriller course story follow hero attempt singlehandedly save country falling hand despot                                                                                                                                                                                                                                                                         ,0,bbi0A2EUQUs,6.2,Peter Howitt,Neal Purvis,action,adventure,comedy,,,john malkovich,rowan atkinson,,"['rowan', 'falling', 'spy', 'thriller', 'follow']",rowan falling spy thriller follow
American Masters Johnny Carson: King of Late Night,2012,chronological look life career johnny carson 19252005 commentary exwife 30 fellow comedian friend employee biographer biography defines carson enduring star cool timing genuine laugh breadth knowledge pursues motivation inner self loner drinking problem decent midwesterner whose mother withheld approval quiet person loved entertain key understanding argues biography love magic                     ,115,D9eJfKkjT8Y,7.8,Mark A. Catalena,Peter Jones,action,biography,documentary,history,music,jack bailey,kevin spacey,steve allen,"['carson', 'biography', 'argues', 'commentary', 'timing']",carson biography argues commentary timing
John Q,2002,john quincy archibalds son michael collapse playing baseball result heart failure john rush michael hospital emergency room informed michael hope transplant unfortunately john insurance wont cover son transplant option john q take emergency room staff patient hostage hospital doctor agree transplant                                                                                                    ,116,Bx7MPpbYSx8,7.1,Nick Cassavetes,James Kearns,action,crime,drama,thriller,,denzel washington,gabriela oltean,robert duvall,"['transplant', 'john', 'michael', 'emergency', 'room']",transplant john michael emergency room
John Doe: Vigilante,2014,call hero call villain he john doe vigilante ordinary man decides take law hand frustrated failing legal system continues allow violent criminal go free john doe begin exacting justice way know killing one criminal time soon becomes medium sensation inspires group copycat vigilante real john doe pillar justice coldblooded murderer decide                                                             ,93,tBqEysLcJ-s,6.6,Kelly Dolen,Stephen M. Coates,action,crime,thriller,,,jamie bamber,lachy hulme,,"['doe', 'john', 'vigilante', 'justice', 'call']",doe john vigilante justice call
John Carter,2012,john carter civil war veteran 1868 trying live normal life asked army join refuse locked escape pursued eventually run indian there gunfight carter seek refuge cave encounter someone holding kind medallion carter touch find place leap incredible height among thing later encounter being never seen meet woman help discover mar learns there kind unrest going                                           ,132,6Rf55GTEZ_E,6.6,Andrew Stanton,Andrew Stanton,action,adventure,fantasy,sci-fi,,lynn collins,taylor kitsch,,"['carter', 'kind', 'there', 'encounter', '1868']",carter kind there encounter 1868
Joe,2013,order provide destitute family drifter likable sincere ablebodied 15yearold boy come hire among burnedout excons group aging forest laborer man becomes aware boy abusive home life deeply buried humanity roused drinking smoking incessantly remain detached volatile temper finally take matter hand come may boy alcoholic father finally go far                                                            ,117,IT-rEF6RIPA,6.9,David Gordon Green,Gary Hawkins,action,crime,drama,,,gary poulter,nicolas cage,tye sheridan,"['boy', 'finally', 'likable', 'smoking', 'detached']",boy finally likable smoking detached
Jodorowsky's Dune,2013,story cult film director alejandro jodorowskys ambitious ultimately doomed film adaptation seminal science fiction novel                                                                                                                                                                                                                                                                                        ,90,XVliO0wAiu4,8.1,Frank Pavich,Alejandro Jodorowsky,action,biography,documentary,history,,h.r. giger,,,"['alejandro', 'film', 'seminal', 'doomed', 'fiction']",alejandro film seminal doomed fiction
Jimmy's Hall,2014,1932 jimmy gralton back home irish countryside ten year forced exile usa widowed mother alice happy jimmy friend happy young people enjoy dancing singing happy case father sheridan local priest village squire dennis okeefe chief fascist reason simple jimmy socialist activist intruder reopens village hall thus enabling villager gather sing dance paint study box take dim view whole thing people thin,109,iUQ9s2ex4HE,6.7,Ken Loach,Paul Laverty,action,biography,drama,history,,aileen henry,barry ward,francis magee,"['jimmy', 'happy', 'village', 'thin', 'reopens']",jimmy happy village thin reopens
Jersey Boys,2014,jersey boy musical biography four seasonsthe rise tough time personal clash ultimate triumph group friend whose music became symbolic generation far mere tribute concert though include number popular four season songbook jersey boy get heart relationship center groupwith special focus frontman frankie valli small kid big falsetto addition following quartet coming age performer core show allegiance,134,tL2iILHUsG0,6.8,Clint Eastwood,Marshall Brickman,action,biography,drama,music,musical,erich bergen,john lloyd young,,"['jersey', 'four', 'boy', 'frontman', 'allegiance']",jersey four boy frontman allegiance
"Jeff, Who Lives at Home",2011,jeff 30 life mom basement unemployed looking sign life answer wrongnumber call kevin later bus see someone wearing jersey kevin back jeff follows meanwhile jeffs brother pat tonedeaf salesman upset wife buying porsche cannot afford pat run jeff soon see pat wife another man job jeff pat mom receives email secret admirer try figure misunderstanding error confrontation abound backup lake pontchartra,83,uLFhuOz_-fY,6.5,Jay Duplass,Jay Duplass,action,comedy,drama,,,ed helms,jason segel,judy greer,"['pat', 'jeff', 'kevin', 'mom', 'see']",pat jeff kevin mom see
Jeepers Creepers,2001,way back home spring break darry patricia jenner witness mysterious person dumping something tunnel deciding discover dumped darry discovers huge disturbing hideout full modified body darry patricia set get help unaware individual aware tunnel darry patricia soon realizes pursuer mysterious person something even horrifying store could possibly imagine                                               ,90,DHOQaXjvTA0,6.1,Victor Salva,Victor Salva,action,horror,mystery,,,gina philips,jonathan breck,justin long,"['darry', 'patricia', 'tunnel', 'person', 'something']",darry patricia tunnel person something
Jay and Silent Bob Strike Back,2001,jay silent bob strike back tale adventure open road dante randal clerk fame get restraining order keep punchy jay hetero lifemate silent bob selling drug front quick stop convenience store life suddenly empty find new purpose friend brodie informs movie made featuring two infamous character based likeness visiting one creator bluntman chronic holden mcneil set get fat movie cash deserve hopefully ,104,HjDSFna_LXQ,6.9,Kevin Smith,Kevin Smith,action,comedy,,,,ben affleck,jason mewes,kevin smith,"['silent', 'bob', 'jay', 'movie', 'convenience']",silent bob jay movie convenience
Jarhead,2005,anthony swoff swofford camusreading kid sacramento enlists marine late 1980s malingers boot camp make sniper paired usuallyreliable troy gulf war break unit go saudi arabia desert shield 175 day boredom adrenaline heat worry girlfriend finding someone else losing nearly killing mate demotion latrine cleaning faulty gas mask desert football desert storm begin le five day swoff see burned body flami,125,F1mE7gmNNhk,7.0,through the eyes of a U.S marine sniper who struggles to cope with the possibility his girlfriend may be cheating on him back home.,Sam Mendes,action,biography,drama,history,war,jake gyllenhaal,jamie foxx,william broyles jr.,"['desert', 'boredom', 'adrenaline', 'sacramento', 'arabia']",desert boredom adrenaline sacramento arabia
Jane Eyre,2011,bleak childhood jane eyre go world become governess life happily new position thornfield hall meet dark cold abrupt master house mr rochester jane employer grow close friendship soon find falling love happiness seems found jane last could mr rochester terrible secret destroy forever                                                                                                                     ,120,e8PLpXvhtlc,7.4,Cary Joji Fukunaga,Charlotte Brontë,action,drama,romance,,,jamie bell,mia wasikowska,michael fassbender,"['jane', 'rochester', 'mr', 'abrupt', 'bleak']",jane rochester mr abrupt bleak
Jamesy Boy,2014,true story james burn teenager go suburban street gang denver maximumsecurity prison cell surrounded hardened criminal unlikely setting james emerge hope brighter future                                                                                                                                                                                                                                       ,109,gLqmExuG6ms,6.3,Trevor White,Lane Shadgett,action,biography,crime,drama,romance,mary-louise parker,spencer rocco lofranco,ving rhames,"['james', 'brighter', 'denver', 'emerge', 'hardened']",james brighter denver emerge hardened
Bad Grandpa .5,2014,bad grandpa 5 give whole new perspective world irving zisman new scene prank also featuring spike jonze gloria catherine keener irving wife ellie plus look evolution johnny knoxville naughty alterego makeup effect behindthescenes peek idiocy take make hidden camera movie public                                                                                                                          ,76,62p48GiJ_rY,6.4,Jeff Tremaine,Fax Bahr,action,comedy,,,,georgina cates,marilynn allain,,"['irving', 'zisman', 'keener', 'behindthescenes', 'alterego']",irving zisman keener behindthescenes alterego
Bad Grandpa,2013,eightysixyearold irving zisman journey across america unlikely companion eightyearold grandson billy jackass present bad grandpa jackass character irving zisman johnny knoxville billy jackson nicoll take movie audience along insane hidden camera road trip ever captured camera along way irving introduce young impressionable billy people place situation give new meaning term childrearing duo encount,92,tctgUr147zA,6.5,Jeff Tremaine,Johnny Knoxville,action,comedy,,,,jackson nicoll,johnny knoxville,,"['irving', 'billy', 'zisman', 'jackass', 'camera']",irving billy zisman jackass camera
Jackass 3.5,2011,much never enough complete cast crew jackass 3d return allnew unrated movie loaded hour outrageous bonus footage get hilarious prank stupidity mayhem crave jackass 35                                                                                                                                                                                                                                          ,0,zde6qvBWRYA,6.8,Jeff Tremaine,Johnny Knoxville,action,comedy,documentary,,,bam margera,,,"['jackass', 'loaded', 'crave', 'bonus', '35']",jackass loaded crave bonus 35
Jack the Giant Slayer,2013,sent market uncle sell horse buy thatch roof jack meet beautiful princess isabelle rescue ruffian return home handful bean given monk claimed sacred little impress uncle toss away night princess arrives run keep marrying roderick clearly interested becoming king soon bean take root giant stalk carrying away princess jack house soon set adventure king guard rescue princess find mythical land filled,114,ng9rjC8MOgU,6.3,Bryan Singer,Darren Lemke,action,adventure,fantasy,,,nicholas hoult,stanley tucci,,"['princess', 'bean', 'uncle', 'rescue', 'jack']",princess bean uncle rescue jack
Jack Ryan: Shadow Recruit,2014,new version saga cia analyst jack ryan begin jack attends london school economics 911 happens subsequently enlists marine sustaining severe injury chopper deploying afghanistan shot intense rehab grab attention harper man work cia would like jack finish study get job wall street seek terrorist plot financial transaction ten year pas jack find anomaly account russian named cherevin think go russia ,105,YmkyGCjoxYM,6.2,Kenneth Branagh,Adam Cozad,action,drama,thriller,,,chris pine,kevin costner,,"['jack', 'cia', 'transaction', 'anomaly', 'grab']",jack cia transaction anomaly grab
Jack Reacher,2012,innocent heartland city five shot dead expert sniper police quickly identify arrest culprit build slamdunk case instead confessing accused man writes word get jack reacher reacher see news report turn city defense immensely relieved reacher come bury guy shocked accused request reacher set confirm absolute certainty man guilt come bargained                                                          ,130,pj8SfsH_6pE,7.0,Christopher McQuarrie,Lee Child,action,crime,mystery,thriller,,richard jenkins,rosamund pike,tom cruise,"['reacher', 'accused', 'confirm', 'relieved', 'heartland']",reacher accused confirm relieved heartland
J. Edgar,2011,biopic j edgar hoover told hoover recall career biography early career hoover fixated communist anarchist revolutionary taking action u government slowly build agency reputation becoming sole arbiter get hired fired one hire clyde tolson quickly promoted assistant director would hoover confidant companion rest hoover life hoover memory playing greater role many high profile case fbi involved lindb,137,XULIO67YIRA,6.6,Clint Eastwood,Dustin Lance Black,action,biography,crime,drama,history,armie hammer,leonardo dicaprio,naomi watts,"['hoover', 'career', 'tolson', 'anarchist', 'confidant']",hoover career tolson anarchist confidant
It's Kind of a Funny Story,2010,craig highschool junior gifted program infatuated best friend girl realizes he suicidal check psychiatric ward hospital thinking theyll observation help send home time school next day however must stay week juvenile ward renovated he adult well youth bobby man young daughter show around craig notice noelle age try keep friend finding little thing draw go therapy sings help bobby rehearse interview,101,uXU3BDvq-sQ,7.1,Anna Boden,Anna Boden,action,comedy,drama,romance,,keir gilchrist,zach galifianakis,,"['craig', 'ward', 'bobby', 'noelle', 'rehearse']",craig ward bobby noelle rehearse
It's Complicated,2009,brought together family event two ex find oddly attracted ten year divorce although couple think affair stay different state brings back city disrupts personal life couple still maintain romance cannot help continue affair                                                                                                                                                                                  ,0,XltvOeIBVVI,6.6,Nancy Meyers,Nancy Meyers,action,comedy,drama,romance,,alec baldwin,meryl streep,steve martin,"['affair', 'couple', 'disrupts', 'oddly', 'maintain']",affair couple disrupts oddly maintain
It Follows,2014,nineteenyearold jay autumn school boy weekend lake seemingly innocent sexual encounter find plagued strange vision inescapable sense someone something following faced burden jay friend must find way escape horror seem step behind                                                                                                                                                                           ,100,HkZYbOH0ujw,6.9,David Robert Mitchell,David Robert Mitchell,action,fantasy,horror,mystery,thriller,keir gilchrist,maika monroe,olivia luccardi,"['jay', 'autumn', 'inescapable', 'burden', 'plagued']",jay autumn inescapable burden plagued
Ironclad,2011,year 1215 rebel baron england forced despised king john put royal seal magna carta noble seminal document upheld right freeman yet within month pledging great charter king reneged word assembled mercenary army south coast england intention bringing baron country back tyrannical rule barring way stood mighty rochester castle place would become symbol rebel momentous struggle justice freedom        ,121,KnoTSlCzAuM,6.2,Jonathan English,Jonathan English,action,adventure,drama,history,romance,jason flemyng,paul giamatti,,"['baron', 'rebel', 'england', 'king', 'magna']",baron rebel england king magna
Iron Man 3,2013,marvel iron man 3 pit brashbutbrilliant industrialist tony starkiron man enemy whose reach know bound stark find personal world destroyed enemy hand embarks harrowing quest find responsible journey every turn test mettle back wall stark left survive device relying ingenuity instinct protect closest fight way back stark discovers answer question secretly haunted man make suit suit make man         ,130,aV8H7kszXqo,7.2,Shane Black,Drew Pearce,action,adventure,sci-fi,,,guy pearce,robert downey jr.,,"['stark', 'suit', 'man', 'enemy', 'industrialist']",stark suit man enemy industrialist
Iron Man,2008,tony stark genius billionaire playboy philanthropist son legendary inventor weapon contractor howard stark tony stark assigned give weapon presentation iraqi unit led lt col james rhodes he given ride enemy line ride end badly starks humvee he riding attacked enemy combatant survives barely chest full shrapnel car battery attached heart order survive come way miniaturize battery figure battery pow,126,KAE5ymVLmZg,7.9,Jon Favreau,Mark Fergus,action,adventure,sci-fi,,,gwyneth paltrow,robert downey jr.,,"['battery', 'stark', 'tony', 'ride', 'weapon']",battery stark tony ride weapon
Iron Man 2,2010,world aware dual life armored superhero iron man billionaire inventor tony stark face pressure government press public share technology military unwilling let go invention stark along pepper potts james rhodey rhodes side must forge new alliance confront powerful enemy                                                                                                                                   ,124,FNQowwwwYa0,7.0,Jon Favreau,Justin Theroux,action,adventure,sci-fi,,,mickey rourke,robert downey jr.,,"['stark', 'potts', 'rhodes', 'armored', 'invention']",stark potts rhodes armored invention
Ip Man,2008,1935 foshan south china martial art school every street corner ip man undisputed martial art champion yet devoted teaching despite seems kung fu master city eager fight improve reputation                                                                                                                                                                                                                     ,106,SZtSwjk4aD8,8.0,Wilson Yip,Edmond Wong,action,biography,drama,sport,,donnie yen,simon yam,siu-wong fan,"['martial', 'art', 'ip', 'undisputed', 'fu']",martial art ip undisputed fu
Ip Man 2,2010,ip man 2 2010 hong kong biographical martial art film loosely based life ip man grandmaster martial art wing chun sequel 2008 film ip man film directed wilson yip star donnie yen reprises leading role continuing event earlier film sequel center ip movement hong kong british colonial rule attempt propagate discipline wing chun face rivalry practitioner including local master hung ga martial art    ,108,jSSuLOXHFG4,7.6,Wilson Yip,Tai-lee Chan,action,biography,drama,history,sport,donnie yen,xiaoming huang,,"['ip', 'martial', 'film', 'chun', 'art']",ip martial film chun art
Invincible,2006,sumer 1976 30year old vince papale tough run luck he working substitute teacher two day week found job eliminated budget cut wife give saying hell never amount anything asks divorce work bartender play football friend new coach philadelphia eagle dick vermeil announces hold open tryout team vince reluctantly decides give try based true story                                                         ,105,BF7EqnYvuGw,7.1,Ericson Core,Brad Gann,action,biography,drama,sport,,elizabeth banks,greg kinnear,mark wahlberg,"['vince', 'give', 'announces', 'bartender', 'dick']",vince give announces bartender dick
Invictus,2009,film tell inspiring true story nelson mandela joined force captain south africa rugby team help unite country newly elected president mandela know nation remains racially economically divided wake apartheid believing bring people together universal language sport mandela rally south africa rugby team make historic run 1995 rugby world cup championship match                                         ,134,RZY8c_a_dlQ,7.4,Clint Eastwood,Anthony Peckham,action,biography,drama,history,sport,matt damon,morgan freeman,tony kgoroge,"['rugby', 'mandela', 'africa', 'south', 'racially']",rugby mandela africa south racially
Into the Woods,2014,wood modern twist beloved brother grimm fairy tale musical format follows classic tale cinderella little red riding hood jack beanstalk rapunzelall tied together original story involving baker wife wish begin family interaction witch put curse                                                                                                                                                             ,125,7pjy5MK1X70,6.0,Rob Marshall,James Lapine,action,adventure,comedy,drama,fantasy,anna kendrick,chris pine,meryl streep,"['tale', 'grimm', 'cinderella', 'tied', 'hood']",tale grimm cinderella tied hood
Into the Wild,2007,based true story graduating emory university christopher mccandless abandoned possession gave entire saving account charity hitchhiked alaska live wilderness along way christopher encounter series character shape life                                                                                                                                                                                       ,148,g7ArZ7VD-QQ,8.1,Sean Penn,Sean Penn,action,adventure,biography,drama,romance,catherine keener,emile hirsch,vince vaughn,"['christopher', 'charity', 'alaska', 'shape', 'gave']",christopher charity alaska shape gave
Into the Mind,2013,story rising ultimate challenge courage risk fatal expo sure perseverance demanded quest achievement solely physical feat mental conquest                                                                                                                                                                                                                                                                       ,82,YJNTK2OEMx0,7.1,Eric Crosland,Callum Pettit,action,documentary,sport,,,j.p. auclair,,,"['demanded', 'conquest', 'solely', 'feat', 'achievement']",demanded conquest solely feat achievement
Interview with a Hitman,2012,trust one feel nothing never lose mantra helped ruthless eastern european assassin rise pinnacle profession raised harsh slum romania victor know value life make perfect killer betrayed men made must fake death escape london join new gangster family find rule put test midst vicious underworld power struggle viktor better faster ruthless ever secret past refusing fade away encounter dark beauty tur,96,VtTTpUy6XiQ,6.3,Perry Bhandal,Perry Bhandal,action,thriller,,,,caroline tillette,luke goss,stephen marcus,"['ruthless', 'pinnacle', 'romania', 'viktor', 'fade']",ruthless pinnacle romania viktor fade
Interstellar,2014,earth future riddled disaster famine drought one way ensure mankind survival interstellar travel newly discovered wormhole far reach solar system allows team astronaut go man gone planet may right environment sustain human life                                                                                                                                                                             ,169,Lm8p5rlrSkY,8.6,Christopher Nolan,Jonathan Nolan,action,adventure,drama,sci-fi,,anne hathaway,jessica chastain,matthew mcconaughey,"['famine', 'riddled', 'ensure', 'solar', 'astronaut']",famine riddled ensure solar astronaut
Insurgent,2015,one choice transform youor destroy every choice consequence unrest surge faction around tris prior must continue trying save lovesand herselfwhile grappling haunting question grief forgiveness identity loyalty politics love triss initiation day marked celebration victory chosen faction instead day ended unspeakable horror war loom conflict faction ideology grows time war side must chosen secret em,119,IR-l_TSjlEo,6.2,Robert Schwentke,Brian Duffield,action,adventure,sci-fi,thriller,,ansel elgort,shailene woodley,,"['faction', 'chosen', 'choice', 'grappling', 'ideology']",faction chosen choice grappling ideology
Insomnia,2002,sent city investigate murder teenage girl small alaska town police detective pacino accidentally shoot partner trying apprehend suspect instead admitting guilt detective given unexpected alibi solution multiplies emotional complexity guilt partner death he also still got murder solve addition blackmail framing innocent bystander orchestrated man chasing there also local detective swank conducting ,118,TMA3whYE13g,7.2,Christopher Nolan,Hillary Seitz,action,drama,mystery,thriller,,al pacino,robin williams,,"['detective', 'guilt', 'partner', 'murder', 'orchestrated']",detective guilt partner murder orchestrated
Insidious: Chapter 2,2013,renai interrogated police detective supernatural event house police investigate house lambert family temporarily move old house lorraine lambert renai haunted woman white josh strange behavior home meanwhile lorraine seek elises partner spec tucker expecting find answer                                                                                                                                  ,106,fBbi4NeebAk,6.6,James Wan,Leigh Whannell,action,fantasy,horror,mystery,thriller,patrick wilson,rose byrne,,"['renai', 'lorraine', 'lambert', 'house', 'police']",renai lorraine lambert house police
Insidious,2010,gripping story family search help son dalton fell coma mysterious incident attic little know much endless sleep meet eye explore paranormal rediscover past key getting son back                                                                                                                                                                                                                                ,103,zuZnRUcoWos,6.8,James Wan,Leigh Whannell,action,drama,fantasy,horror,mystery,patrick wilson,rose byrne,ty simpkins,"['dalton', 'gripping', 'rediscover', 'son', 'attic']",dalton gripping rediscover son attic
Inside Man,2006,cell man tell u planned perfect bank robbery invite u watch efficient gang enters manhattan bank lock door take hostage work deliberately without haste detective frazier assigned negotiate half mind occupied corruption charge facing bank president something protect safe deposit box brings madeleine white highpower broker hidden agenda army police surrounding bank thief cop plutocrat fixer enter hi,129,FSH-dbbiroI,7.6,Spike Lee,Russell Gewirtz,action,crime,drama,mystery,thriller,clive owen,denzel washington,jodie foster,"['bank', 'madeleine', 'fixer', 'efficient', 'negotiate']",bank madeleine fixer efficient negotiate
Inside Llewyn Davis,2013,follow week life young folk singer navigates greenwich village folk scene 1961 guitar tow huddled unforgiving new york winter struggling make musician seemingly insurmountable obstacle making                                                                                                                                                                                                                 ,104,eXMuR-Nsylg,7.5,Ethan Coen,Joel Coen,action,drama,music,,,carey mulligan,john goodman,oscar isaac,"['folk', '1961', 'guitar', 'insurmountable', 'tow']",folk 1961 guitar insurmountable tow
Inside Job,2010,inside job provides comprehensive analysis global financial crisis 2008 cost 20 trillion caused million people lose job home worst recession since great depression nearly resulted global financial collapse exhaustive research extensive interview key financial insider politician journalist academic film trace rise rogue industry corrupted politics regulation academia made location united state icel,105,FzrBurlJUNk,8.3,Charles Ferguson,Charles Ferguson,action,crime,documentary,,,gylfi zoega,matt damon,,"['financial', 'global', 'corrupted', 'comprehensive', 'analysis']",financial global corrupted comprehensive analysis
Inland Empire,2006,blonde actress preparing biggest role yet find falling costar realizes life beginning mimic fictional film theyre shooting adding confusion revelation current film remake doomed polish production 47 never finished due unspeakable tragedy                                                                                                                                                                   ,180,vKk2eFV5cqA,7.0,David Lynch,David Lynch,action,drama,mystery,thriller,,jeremy irons,justin theroux,laura dern,"['confusion', 'film', 'costar', '47', 'adding']",confusion film costar 47 adding
Inkheart,2008,mo special talent bring character book one night brings three character inkheart story set medieval time filled magical being capricorn basta two villain dustfinger fireeater 10 year later meggie discovers truth escape capricorn evil grasp                                                                                                                                                                 ,106,0H_3J8G9s4o,6.1,Iain Softley,David Lindsay-Abaire,action,adventure,family,fantasy,,andy serkis,brendan fraser,eliza bennett,"['character', 'medieval', 'grasp', 'mo', 'being']",character medieval grasp mo being
